City, Population June 2020, % of national population June 2019
Adelaide, 1357504, 5.38%
Albany, 34587, 0.14%
Alice Springs, 26448, 0.11%
Armidale, 24460, 0.10%
Bacchus Marsh, 23756, 0.09%
Bairnsdale, 15592, 0.06%
Ballarat, 109533, 0.42%
Ballina, 27085, 0.11%
Batemans Bay, 16754, 0.07%
Bathurst, 37545, 0.15%
Bendigo, 102499, 0.40%
Bowral-Mittagong, 40964, 0.16%
Brisbane, 2475680, 9.85%
Broken Hill, 17269, 0.07%
Broome, 14403, 0.06%
Bunbury, 75155, 0.30%
Bundaberg, 71554, 0.28%
Burnie-Wynyard, 27535, 0.11%
Busselton, 40326, 0.16%
Cairns, 155340, 0.61%
Camden Haven, 18623, 0.07%
Canberra-Queanbeyan, 464995, 1.83%
Central Coast, 337284, 1.31%
Coffs Harbour, 73018, 0.29%
Colac, 12584, 0.05%
Darwin, 133268, 0.59%
Devonport, 30877, 0.12%
Albury-Wodonga, 96075, 0.37%
Dubbo, 39054, 0.15%
Echuca-Moama, 21671, 0.08%
Emerald, 14421, 0.06%
Esperance, 12083, 0.05%
Forster-Tuncurry, 21084, 0.08%
Geelong, 282412, 1.07%
Geraldton, 37256, 0.15%
Gisborne-Macedon, 22431, 0.09%
Gladstone-Tannum Sands, 45938, 0.18%
Gold Coast-Tweed Heads, 709495, 2.72%
Goulburn, 24382, 0.10%
Grafton, 19019, 0.08%
Griffith, 20571, 0.08%
Gympie, 21958, 0.09%
Hervey Bay, 55975, 0.22%
Hobart, 219071, 0.93%
Horsham, 16736, 0.07%
Kalgoorlie-Boulder, 28911, 0.12%
Karratha, 17482, 0.07%
Kempsey, 15373, 0.06%
Kingaroy, 10286, 0.04%
Launceston, 89178, 0.35%
Lismore, 28495, 0.11%
Lithgow, 12840, 0.05%
Mackay, 80926, 0.32%
Maryborough, 27458, 0.11%
Melbourne, 4969305, 19.86%
Melton, 75517, 0.29%
Mildura-Wentworth, 52319, 0.21%
Moe-Newborough, 16844, 0.07%
Morisset-Cooranbong, 26171, 0.10%
Mount Gambier, 29946, 0.12%
Mount Isa, 18334, 0.07%
Mudgee, 12649, 0.05%
Murray Bridge, 19414, 0.08%
Muswellbrook, 12364, 0.05%
Nelson Bay, 28490, 0.11%
Newcastle-Maitland, 498095, 1.95%
Nowra-Bomaderry, 38314, 0.15%
Orange, 40888, 0.16%
Parkes, 11164, 0.04%
Perth, 2083645, 8.24%
Port Augusta, 13397, 0.06%
Port Hedland, 14804, 0.06%
Port Lincoln, 16453, 0.07%
Port Macquarie, 49478, 0.19%
Port Pirie, 14086, 0.06%
Portland, 10908, 0.04%
Rockhampton, 79602, 0.31%
Sale, 15302, 0.06%
Shepparton-Mooroopna, 52529, 0.21%
Singleton, 16101, 0.07%
St Georges Basin-Sanctuary Point, 19869, 0.08%
Sunshine Coast, 348343, 1.33%
Swan Hill, 11054, 0.04%
Sydney, 4966806, 20.93%
Tamworth, 43251, 0.17%
Taree, 26380, 0.11%
Toowoomba, 139526, 0.55%
Townsville, 183322, 0.72%
Traralgon-Morwell, 42440, 0.17%
Ulladulla, 16865, 0.06%
Ulverstone, 14655, 0.06%
Victor Harbor-Goolwa, 27410, 0.11%
Wagga Wagga, 56887, 0.23%
Wangaratta, 19440, 0.08%
Warragul-Drouin, 40645, 0.15%
Warrnambool, 35887, 0.14%
Warwick, 15199, 0.06%
Whyalla, 21478, 0.09%
Wollongong, 309345, 1.21%
Yanchep, 15204, 0.06%
Yeppoon, 19547, 0.08%